lon	lat
-115.5458333	37.4125
-115.5375	37.4125
-115.5291667	37.4125
-115.5125	37.4125
-115.4625	37.4125
-115.4541667	37.4125
-115.4458333	37.4125
-115.4291667	37.4125
-115.4125	37.4125
-115.4041667	37.4125
-115.3958333	37.4125
-115.3875	37.4125
-115.3791667	37.4125
-115.1708333	37.4125
-115.5375	37.40416667
-115.5208333	37.40416667
-115.5125	37.40416667
-115.4375	37.40416667
-115.4291667	37.40416667
-115.4208333	37.40416667
-115.4125	37.40416667
-115.4041667	37.40416667
-115.1708333	37.40416667
-115.5291667	37.39583333
-115.5125	37.39583333
-115.4458333	37.39583333
-115.4291667	37.39583333
-115.1625	37.39583333
-117.3458333	37.3875
-115.5291667	37.3875
-115.4458333	37.3875
-115.4375	37.3875
-117.8291667	37.37916667
-117.8208333	37.37916667
-117.1291667	37.37916667
-115.5125	37.37916667
-115.4375	37.37916667
-117.5375	37.37083333
-115.5291667	37.37083333
-115.5208333	37.37083333
-115.5125	37.37083333
-115.4458333	37.37083333
-115.4375	37.37083333
-115.4291667	37.37083333
-115.4125	37.37083333
-115.4041667	37.37083333
-115.1541667	37.37083333
-115.0291667	37.37083333
-117.3708333	37.3625
-115.5375	37.3625
-115.5291667	37.3625
-115.4791667	37.3625
-115.4708333	37.3625
-115.4375	37.3625
-117.3875	37.35416667
-117.3791667	37.35416667
-117.3708333	37.35416667
-115.5375	37.35416667
-115.0875	37.35416667
-115.0791667	37.35416667
-117.7458333	37.34583333
-117.1208333	37.34583333
-117.0958333	37.34583333
-115.5375	37.34583333
-115.5291667	37.34583333
-115.1208333	37.34583333
-115.1125	37.34583333
-115.1041667	37.34583333
-115.0958333	37.34583333
-117.7291667	37.3375
-117.1291667	37.3375
-117.0875	37.3375
-115.1291667	37.3375
-117.1375	37.32916667
-117.1541667	37.32083333
-117.1875	37.3125
-117.1791667	37.3125
-117.1708333	37.3125
-115.1208333	37.3125
-117.2208333	37.30416667
-117.2041667	37.30416667
-115.1375	37.30416667
-115.1208333	37.30416667
-117.2791667	37.29583333
-117.2625	37.29583333
-117.2541667	37.29583333
-117.2458333	37.29583333
-117.2375	37.29583333
-117.2791667	37.2875
-117.2791667	37.27916667
-117.2708333	37.27916667
-115.1125	37.27916667
-117.9291667	37.2625
-117.2541667	37.2625
-117.9291667	37.25416667
-117.2375	37.25416667
-117.2291667	37.25416667
-115.9791667	37.24583333
-117.2125	37.2375
-116.0458333	37.2375
-116.0208333	37.2375
-115.9958333	37.2375
-115.9625	37.2375
-117.9708333	37.22916667
-117.9541667	37.22916667
-117.1958333	37.22916667
-117.1875	37.22916667
-116.2791667	37.22916667
-116.0375	37.22916667
-117.9875	37.22083333
-116.3125	37.22083333
-116.2958333	37.22083333
-116.2875	37.22083333
-116.0625	37.22083333
-116.0458333	37.22083333
-116.0208333	37.22083333
-115.9875	37.22083333
-115.9625	37.22083333
-115.9458333	37.22083333
-115.0791667	37.22083333
-116.0541667	37.2125
-116.0458333	37.2125
-116.0291667	37.2125
-116.0208333	37.2125
-115.9875	37.2125
-115.9791667	37.2125
-115.9375	37.2125
-115.0708333	37.2125
-117.9875	37.20416667
-116.0625	37.20416667
-116.0291667	37.20416667
-116.0208333	37.20416667
-116.0125	37.20416667
-116.0041667	37.20416667
-115.9791667	37.20416667
-115.9625	37.20416667
-117.9958333	37.19583333
-116.0458333	37.19583333
-116.0208333	37.19583333
-116.0041667	37.19583333
-115.9541667	37.19583333
-115.9458333	37.19583333
-115.9375	37.19583333
-115.9291667	37.19583333
-115.0458333	37.19583333
-118.0041667	37.1875
-116.0375	37.1875
-116.0208333	37.1875
-116.0041667	37.1875
-115.9708333	37.1875
-115.9291667	37.1875
-118.0125	37.17916667
-116.0208333	37.17916667
-115.9958333	37.17916667
-115.9791667	37.17916667
-115.9458333	37.17916667
-115.9375	37.17916667
-115.1875	37.17916667
-114.1291667	37.17916667
-116.4625	37.17083333
-116.3375	37.17083333
-116.0125	37.17083333
-116.0041667	37.17083333
-115.9958333	37.17083333
-115.9875	37.17083333
-115.9625	37.17083333
-115.9541667	37.17083333
-116.4541667	37.1625
-116.3458333	37.1625
-116.3291667	37.1625
-116.0458333	37.1625
-116.0291667	37.1625
-116.0208333	37.1625
-116.0125	37.1625
